timestamp,src_ip,dst_ip,src_port,dst_port,protocol,action,bytes,rule_id,interface,category,severity,description,entry,summary,suspicious,risk_type,severity.1,action.1,next_prediction
2025-09-26T14:20:10Z,198.51.100.23,10.0.0.5,49212,22,TCP,DENY,0,101,eth0,brute_force,high,Multiple failed SSH attempts from external IP targeting port 22 — likely brute-force.,"['2025-09-26T14:20:10Z', '2025-09-26T14:20:12Z', '2025-09-26T14:20:15Z']","IP bên ngoài 198.51.100.23 thực hiện nhiều lần cố gắng đăng nhập SSH thất bại vào máy chủ nội bộ 10.0.0.5, có dấu hiệu tấn công brute-force.",Có,Tấn công brute-force để chiếm quyền truy cập SSH,Cao,Chặn IP và kiểm tra sâu,Tấn công có thể tiếp tục hoặc chuyển sang mục tiêu khác
2025-09-26T14:20:12Z,198.51.100.23,10.0.0.5,49212,22,TCP,DENY,0,101,eth0,brute_force,high,Repeated denied SSH connections in short timeframe from same source.,['2025-09-26T15:00:00Z'],"Máy chủ nội bộ 10.0.0.5 gửi dữ liệu lớn (104.857.600 bytes) qua HTTPS đến IP bên ngoài 198.51.100.100, có khả năng là khai thác dữ liệu (data exfiltration).",Có,Khai thác dữ liệu trái phép (Data Exfiltration),Cao,Chặn kết nối và điều tra,Người dùng có thể tiếp tục truyền dữ liệu hoặc thực hiện hành động khác
2025-09-26T14:20:15Z,198.51.100.23,10.0.0.5,49212,22,TCP,DENY,0,101,eth0,brute_force,high,Same pattern as previous — automated credential guessing suspected.,['2025-09-26T15:01:00Z'],"Kết nối SMB giữa các máy chủ nội bộ 10.0.0.8 và 10.0.0.9, có thể là di chuyển ngang (lateral movement) hoặc hoạt động hợp lệ.",Có,Di chuyển ngang trong mạng nội bộ,Trung bình,Kiểm tra quy trình sở hữu tiến trình,Tấn công có thể mở rộng sang các hệ thống khác
2025-09-26T15:00:00Z,10.0.0.5,198.51.100.100,443,52345,TCP,ALLOW,104857600,201,eth1,data_exfiltration,high,Very large outbound transfer to an external IP over HTTPS — possible data exfiltration.,"['2025-09-26T17:00:00Z', '2025-09-26T17:02:10Z', '2025-09-26T19:00:00Z']","IP bên ngoài 203.0.113.55 và 198.51.100.45 lần lượt cố gắng truy cập SSH và MySQL trên các cổng không chuẩn, bị chặn do quét cổng.",Có,Quét cổng (Port Scanning) và khai thác dịch vụ,Cao,Chặn IP và kiểm tra dịch vụ mục tiêu,Tấn công có thể chuyển sang khai thác lỗ hổng hoặc thực hiện hoạt động khác
2025-09-26T15:00:05Z,10.0.0.5,198.51.100.101,443,52346,TCP,ALLOW,2048000,201,eth1,normal,low,Typical web upload activity but monitor size and destination.,"['2025-09-26T18:00:00Z', '2025-09-26T18:00:01Z', '2025-09-26T18:00:02Z']","Máy chủ nội bộ 10.0.0.50 kết nối SSH qua cổng không chuẩn đến 10.0.0.51, có thể là kết nối quản trị từ xa không mong muốn.",Có,Kết nối quản trị từ xa không được xác minh,Thấp,Giữ theo dõi và xác minh thời gian bảo trì,Có thể tiếp tục kết nối hoặc thực hiện hành động quản trị
2025-09-26T15:01:00Z,10.0.0.8,10.0.0.9,445,49152,TCP,ALLOW,5120,301,br0,lateral_movement,medium,SMB traffic between internal hosts — could be legitimate or lateral movement; investigate process owners.,,,,,,,
2025-09-26T15:02:10Z,203.0.113.45,10.0.0.10,5678,3389,TCP,DENY,0,102,eth0,external_recon,medium,External host attempting RDP to internal host and blocked — suspicious reconnaissance.,,,,,,,
2025-09-26T16:10:00Z,192.0.2.10,10.0.0.20,12345,80,TCP,ALLOW,3456,150,eth2,normal,low,Normal HTTP request from known partner net.,,,,,,,
2025-09-26T16:11:00Z,192.0.2.11,10.0.0.20,12346,80,TCP,ALLOW,4096,150,eth2,normal,low,Another benign HTTP session.,,,,,,,
2025-09-26T16:11:10Z,192.0.2.12,10.0.0.20,12347,80,TCP,ALLOW,5120,150,eth2,normal,low,Benign web requests.,,,,,,,
2025-09-26T16:15:00Z,10.0.1.5,203.0.113.200,5678,8080,TCP,ALLOW,10240,210,eth1,third_party_service,low,Outbound connection to third-party API — expected behavior for integration.,,,,,,,
2025-09-26T17:00:00Z,203.0.113.55,10.0.0.30,33333,22,TCP,DENY,0,101,eth0,port_scan,medium,Connection to SSH on non-standard high source port and blocked; part of scan pattern.,,,,,,,
2025-09-26T17:05:00Z,10.0.0.30,198.51.100.200,40000,80,TCP,ALLOW,8192,201,eth1,normal,low,Outbound HTTP traffic — likely normal.,,,,,,,
2025-09-26T17:05:10Z,10.0.0.30,198.51.100.200,40001,443,TCP,ALLOW,16384,201,eth1,normal,low,HTTPS request to external service.,,,,,,,
2025-09-26T18:00:00Z,10.0.0.50,10.0.0.51,2222,22,TCP,ALLOW,128,301,br0,remote_admin,low,Internal admin connection tunneled to SSH; verify expected maintenance window.,,,,,,,
2025-09-26T18:00:01Z,10.0.0.50,10.0.0.51,2223,22,TCP,ALLOW,128,301,br0,remote_admin,low,Additional proxied SSH sessions.,,,,,,,
2025-09-26T18:00:02Z,10.0.0.50,10.0.0.51,2224,22,TCP,ALLOW,128,301,br0,remote_admin,low,Series of proxied admin connections.,,,,,,,
2025-09-26T19:00:00Z,198.51.100.45,10.0.0.60,60000,3306,TCP,DENY,0,103,eth0,db_recon,high,External host attempting MySQL access to internal DB and was blocked — high risk.,,,,,,,
