timestamp,url,method,body_raw,label,is_attack,score,severity,owasp,apt_phase,confidence,true_label,parse_error
2010-06-01 08:00:00,http://localhost:8080/tienda1/publico/anadir.jsp?id=2&nombre=Jam%F3n+Ib%E9rico&precio=85&cantidad=%27%3B+DROP+TABLE+usuarios%3B+SELECT+*+FROM+datos+WHERE+nombre+LIKE+%27%25&B1=A%F1adir+al+carrito,GET,"
",-1,True,1.0,CRITICAL,A03:2021 - Command Injection,execution,0.82,1,False
2010-06-01 08:00:41,http://localhost:8080/tienda1/publico/anadir.jsp,POST,"id=2&nombre=Jam%F3n+Ib%E9rico&precio=85&cantidad=%27%3B+DROP+TABLE+usuarios%3B+SELECT+*+FROM+datos+WHERE+nombre+LIKE+%27%25&B1=A%F1adir+al+carrito

",-1,True,1.0,CRITICAL,A03:2021 - Command Injection,execution,0.82,1,False
2010-06-01 08:00:49,http://localhost:8080/tienda1/publico/anadir.jsp?id=2%2F&nombre=Jam%F3n+Ib%E9rico&precio=85&cantidad=49&B1=A%F1adir+al+carrito,GET,"
",-1,True,0.8228,CRITICAL,A09:2021 - Anomalous Request,reconnaissance,0.4,1,False
2010-06-01 08:00:51,http://localhost:8080/tienda1/publico/anadir.jsp,POST,"id=2%2F&nombre=Jam%F3n+Ib%E9rico&precio=85&cantidad=49&B1=A%F1adir+al+carrito

",-1,True,0.833,CRITICAL,A09:2021 - Anomalous Request,reconnaissance,0.4,1,False
2010-06-01 08:01:39,http://localhost:8080/asf-logo-wide.gif~,GET,"
",-1,True,0.7197,CRITICAL,A09:2021 - Anomalous Request,reconnaissance,0.4,1,False
2010-06-01 08:01:57,http://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=bob%40%3CSCRipt%3Ealert%28Paros%29%3C%2FscrIPT%3E.parosproxy.org&pwd=84m3ri156&remember=on&B1=Entrar,GET,"
",-1,True,0.9677,CRITICAL,A03:2021 - XSS,initial_access,0.86,1,False
2010-06-01 08:02:13,http://localhost:8080/tienda1/publico/autenticar.jsp,POST,"modo=entrar&login=bob%40%3CSCRipt%3Ealert%28Paros%29%3C%2FscrIPT%3E.parosproxy.org&pwd=84m3ri156&remember=on&B1=Entrar

",-1,True,0.9901,CRITICAL,A03:2021 - XSS,initial_access,0.86,1,False
2010-06-01 08:02:28,http://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=grimshaw&pwd=G%2F%2FlAc%2CIAr&remember=on&B1=Entrar,GET,"
",-1,True,0.8189,CRITICAL,A09:2021 - Anomalous Request,reconnaissance,0.4,1,False
2010-06-01 08:02:37,http://localhost:8080/tienda1/publico/autenticar.jsp,POST,"modo=entrar&login=grimshaw&pwd=G%2F%2FlAc%2CIAr&remember=on&B1=Entrar

",-1,True,0.8564,CRITICAL,A09:2021 - Anomalous Request,reconnaissance,0.4,1,False
2010-06-01 08:03:25,http://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=grimshaw&pwd=84m3ri156&rememberA=on&B1=Entrar,GET,"
",-1,True,0.7152,CRITICAL,A09:2021 - Anomalous Request,reconnaissance,0.4,1,False
2010-06-01 08:03:32,http://localhost:8080/tienda1/publico/autenticar.jsp,POST,"modo=entrar&login=grimshaw&pwd=84m3ri156&rememberA=on&B1=Entrar

",-1,True,0.7519,CRITICAL,A09:2021 - Anomalous Request,reconnaissance,0.4,1,False
2010-06-01 08:04:16,http://localhost:8080/tienda1/publico/caracteristicas.jsp?idA=2,GET,"
",-1,True,0.7566,CRITICAL,A09:2021 - Anomalous Request,reconnaissance,0.4,1,False
2010-06-01 08:05:04,http://localhost:8080/tienda1/publico/caracteristicas.jsp,POST,"idA=2

",-1,True,0.8196,CRITICAL,A09:2021 - Anomalous Request,reconnaissance,0.4,1,False
2010-06-01 08:06:02,http://localhost:8080/tienda1/publico/entrar.jsp?errorMsg=%2B,GET,"
",-1,True,0.7881,CRITICAL,A09:2021 - Anomalous Request,reconnaissance,0.4,1,False
2010-06-01 08:06:37,http://localhost:8080/tienda1/publico/entrar.jsp,POST,"errorMsg=%2B

",-1,True,0.8343,CRITICAL,A09:2021 - Anomalous Request,reconnaissance,0.4,1,False
2010-06-01 08:06:43,http://localhost:8080/tienda1/publico/entrar.jsp?errorMsgA=Credenciales+incorrectas,GET,"
",-1,True,0.7864,CRITICAL,A09:2021 - Anomalous Request,reconnaissance,0.4,1,False
2010-06-01 08:07:21,http://localhost:8080/tienda1/publico/entrar.jsp,POST,"errorMsgA=Credenciales+incorrectas

",-1,True,0.8033,CRITICAL,A09:2021 - Anomalous Request,reconnaissance,0.4,1,False
